id;question;extra;suspicious_status;suspicious_note
373;It was difficult to ignore [their:t.Possessive,p3] influence on the final result.;Было трудно игнорировать их влияние на окончательный результат.;0;
# possessive: determiner rules > ставится перед прилагательным
000;I've lost my new keys.[Y:t.Possessive](Y/N);Я потерял свои новые ключи;0;
000;She loves her big dog.[Y:t.Possessive](Y/N);Она любит свою большую собаку;0;
000;We painted our old house.[Y:t.Possessive](Y/N);Мы покрасили наш старый дом;0;
000;They sold their red car.[Y:t.Possessive](Y/N);Они продали свою красную машину;0;
000;He fixed his broken phone.[Y:t.Possessive](Y/N);Он починил свой сломанный телефон;0;
000;I've lost new my keys.[N:t.Possessive](Y/N);"my" должно стоять перед "new": my new keys;0;
000;She loves big her dog.[N:t.Possessive](Y/N);"her" должно стоять перед "big": her big dog;0;
000;We painted old our house.[N:t.Possessive](Y/N);"our" должно стоять перед "old": our old house;0;
000;They sold red their car.[N:t.Possessive](Y/N);"their" должно стоять перед "red": their red car;0;
000;He fixed broken his phone.[N:t.Possessive](Y/N);"his" должно стоять перед "broken": his broken phone;0;
# possessive: determiner rules > исключает употребление артикля и указательных местоимений
000;It is my dog.[Y:t.Possessive](Y/N);Это моя собака;0;
000;That is her bike.[Y:t.Possessive](Y/N);Это её велосипед;0;
000;His idea was interesting.[Y:t.Possessive](Y/N);Его идея была интересной;0;
000;Their apartment is huge.[Y:t.Possessive](Y/N);Их квартира огромная;0;
000;Our teacher is kind.[Y:t.Possessive](Y/N);Наш учитель добрый;0;
000;It is the my dog.[N:t.Possessive](Y/N);*the* и *my* вместе не используются;0;
000;This my friend is a doctor.[N:t.Possessive](Y/N);*this* и *my* вместе не используются;0;
000;A your idea is good.[N:t.Possessive](Y/N);*a* и *your* вместе не используются;0;
000;That her book is on the table.[N:t.Possessive](Y/N);*that* и *her* вместе не используются;0;
000;An our problem remains.[N:t.Possessive](Y/N);*an* и *our* вместе не используются;0;
# possessive: determiner rules > multi-determiners > Possessive + Noun
000;my phone is charging.[Y:t.Possessive](Y/N);мой телефон заряжается;0;
000;her name is Sarah.[Y:t.Possessive](Y/N);её зовут Сара;0;
000;their house is big.[Y:t.Possessive](Y/N);их дом большой;0;
000;our team won.[Y:t.Possessive](Y/N);наша команда победила;0;
000;his car is fast.[Y:t.Possessive](Y/N);его машина быстрая;0;
000;the my phone.[N:t.Possessive](Y/N);"the" и "my" вместе не используются;0;
000;this my name.[N:t.Possessive](Y/N);"this" и "my" вместе не используются;0;
000;a your house.[N:t.Possessive](Y/N);"a" и "your" вместе не используются;0;
000;these their books.[N:t.Possessive](Y/N);"these" и "their" вместе не используются;0;
000;that her idea.[N:t.Possessive](Y/N);"that" и "her" вместе не используются;0;
# possessive: determiner rules > multi-determiners > Possessive + Postdet (число/кол-во) + Noun
000;my two dogs are sleeping.[Y:t.Possessive+Postdet](Y/N);мои две собаки спят;0;
000;his several books are old.[Y:t.Possessive+Postdet](Y/N);несколько его книг старые;0;
000;our many options are open.[Y:t.Possessive+Postdet](Y/N);у нас много открытых вариантов;0;
000;their few ideas were good.[Y:t.Possessive+Postdet](Y/N);немногие их идеи были хороши;0;
000;her three friends arrived.[Y:t.Possessive+Postdet](Y/N);её три друга пришли;0;
000;my the two dogs.[N:t.Possessive+Postdet](Y/N);"my" и "the" вместе не используются;0;
000;some my books.[N:t.Possessive+Postdet](Y/N);"some" не может идти перед "my";0;
000;your all ideas.[N:t.Possessive+Postdet](Y/N);"all" не может идти после "your";0;
000;a our three plans.[N:t.Possessive+Postdet](Y/N);"a" и "our" вместе не используются;0;
000;the his several shirts.[N:t.Possessive+Postdet](Y/N);"the" и "his" вместе не используются;0;
# possessive: determiner rules > multi-determiners > Possessive + Modifier (прилагательное) + Noun
000;her new job is interesting.[Y:t.Possessive+Mod](Y/N);её новая работа интересная;0;
000;their beautiful garden is huge.[Y:t.Possessive+Mod](Y/N);их красивый сад огромен;0;
000;my old shoes are torn.[Y:t.Possessive+Mod](Y/N);мои старые туфли порвались;0;
000;his small apartment is nice.[Y:t.Possessive+Mod](Y/N);его маленькая квартира приятная;0;
000;our main goal is clear.[Y:t.Possessive+Mod](Y/N);наша главная цель ясна;0;
000;a my new job.[N:t.Possessive+Mod](Y/N);"a" и "my" не сочетаются;0;
000;the your beautiful garden.[N:t.Possessive+Mod](Y/N);"the" и "your" не сочетаются;0;
000;this his old shoes.[N:t.Possessive+Mod](Y/N);"this" и "his" не сочетаются;0;
000;that her small house.[N:t.Possessive+Mod](Y/N);"that" и "her" не сочетаются;0;
000;an our main idea.[N:t.Possessive+Mod](Y/N);"an" и "our" не сочетаются;0;
# possessive: determiner rules > multi-determiners > Possessive + Postdet + Modifier + Noun
000;our three best friends are here.[Y:t.Possessive+Postdet+Mod](Y/N);наши три лучших друга здесь;0;
000;his several strange ideas are valid.[Y:t.Possessive+Postdet+Mod](Y/N);несколько его странных идей верны;0;
000;my two new shirts are clean.[Y:t.Possessive+Postdet+Mod](Y/N);мои две новые рубашки чистые;0;
000;their five recent projects failed.[Y:t.Possessive+Postdet+Mod](Y/N);их пять недавних проектов провалились;0;
000;her many difficult tasks are done.[Y:t.Possessive+Postdet+Mod](Y/N);многие её сложные задачи выполнены;0;
000;all our the three best friends.[N:t.Possessive+Postdet+Mod](Y/N);"all" + "our" + "the" недопустимо;0;
000;the his several strange ideas.[N:t.Possessive+Postdet+Mod](Y/N);"the" и "his" не сочетаются;0;
000;some my two new shirts.[N:t.Possessive+Postdet+Mod](Y/N);"some" не может стоять перед "my";0;
000;a their five recent calls.[N:t.Possessive+Postdet+Mod](Y/N);"a" и "their" не сочетаются;0;
000;these her many difficult jobs.[N:t.Possessive+Postdet+Mod](Y/N);"these" и "her" не сочетаются;0;
# possessive: determiner rules > multi-determiners > of + Possessive (особый случай)
000;a friend of mine.[Y:t.of+Possessive](Y/N);один из моих друзей;0;
000;this idea of yours is great.[Y:t.of+Possessive](Y/N);эта твоя идея отличная;0;
000;no fault of theirs.[Y:t.of+Possessive](Y/N);не их вина;0;
000;some relatives of hers came.[Y:t.of+Possessive](Y/N);пришли некоторые её родственники;0;
000;that habit of his is annoying.[Y:t.of+Possessive](Y/N);эта его привычка раздражает;0;
000;that idea yours of is brilliant.[N:t.of+Possessive](Y/N);"of" должно идти перед "yours": "that idea of yours";0;
000;an mine of friend called me.[N:t.of+Possessive](Y/N);"mine" должно быть после "of": "a friend of mine";0;
000;some hers relatives of came yesterday.[N:t.of+Possessive](Y/N);"hers" должно стоять после "of": "some relatives of hers";0;
000;the theirs problem of was serious.[N:t.of+Possessive](Y/N);"theirs" должно быть после "of": "the problem of theirs";0;
000;no his of habit is funny.[N:t.of+Possessive](Y/N);"his" должно быть после "of": "no habit of his";0;
000;this yours suggestion surprised me.[N:t.of+Possessive](Y/N);"yours" не может стоять перед существительным — нужно "suggestion of yours";0;
000;a hers friend called you.[N:t.of+Possessive](Y/N);"hers" не может идти перед существительным — нужно "a friend of hers";0;
000;each mine idea failed.[N:t.of+Possessive](Y/N);"mine" должно стоять после "of": "each idea of mine";0;
000;some his of ideas worked.[N:t.of+Possessive](Y/N);"his" должно быть после "of": "some ideas of his";0;
000;that their of project was approved.[N:t.of+Possessive](Y/N);"their" должно быть после "of": "that project of theirs";0;
# possessive: порядок местоимений
001;This is [your and my](i, you) project.;Это ваш и мой проект.;0;
002;We discussed [your and his](you, he) ideas.;Мы обсуждали ваши и его идеи.;0;
003;She reviewed [their and my](i, they) reports.;Она проверила их и мои отчёты.;0;
004;They liked [your and her](you, she) presentation.;Им понравилась ваша и её презентация.;0;
005;This is [his and our](we, he) responsibility.;Это его и наша ответственность.;0;
006;We should respect [your and their](you, they) opinion.;Мы должны уважать ваши и их мнения.;0;
007;She borrowed [his and my](i, he) notes for the test.;Она взяла его и мои записи для теста.;0;
008;I appreciate [your and her](you, she) help.;Я ценю вашу и её помощь.;0;
009;They are considering [your and our](you, we) proposal.;Они рассматривают ваше и наше предложение.;0;
010;We need to combine [your and their](you, they) resources.;Нам нужно объединить ваши и их ресурсы.;0;
011;I corrected [your and his](you, he) mistakes.;Я исправил ваши и его ошибки.;0;
013;She accepted [their and my](i, they) offer.;Она приняла их и моё предложение.;0;
016;They shared [your and my](i, you) concerns.;Они разделяют ваши и мои опасения.;0;
017;I need to check [your and their](you, they) schedules.;Мне нужно проверить ваши и их расписания.;0;
018;She supports [his and our](we, he) project.;Она поддерживает его и наш проект.;0;
019;We finalized [her and their](she, they) contracts.;Мы завершили её и их контракты.;0;
020;I value [your and their](you, they) feedback.;Я ценю ваши и их отзывы.;0;
# possessive: Singular Their
001;Every student should bring [their:t.Possessive] own notebook.;Каждый студент должен принести свой собственный блокнот.;0;
002;If someone forgets [their:t.Possessive] password, they can reset it online.;Если кто-то забудет свой пароль, он может сбросить его онлайн.;0;
003;Nobody wants to lose [their:t.Possessive] job.;Никто не хочет потерять свою работу.;0;
004;A person should follow [their:t.Possessive] dreams.;Человек должен следовать своим мечтам.;0;
005;Each employee has [their:t.Possessive] own responsibilities.;Каждый сотрудник имеет свои собственные обязанности.;0;
006;If a doctor loves [their:t.Possessive] job, they will help more patients.;Если врач любит свою работу, он поможет большему количеству пациентов.;0;
007;When a customer enters, greet [their:t.Possessive] visit with a smile.;Когда клиент заходит, приветствуйте его визит с улыбкой.;0;
008;No one should be forced to change [their:t.Possessive] beliefs.;Никто не должен быть вынужден менять свои убеждения.;0;
009;If a writer wants to improve [their:t.Possessive] skills, they must practice daily.;Если писатель хочет улучшить свои навыки, он должен практиковаться ежедневно.;0;
010;Each person must choose [their:t.Possessive] own path in life.;Каждый человек должен выбрать свой собственный путь в жизни.;0;
# possessive: patterns - в сочетаниях с "own" (для усиления)
001;I have [my:t.Possessive] own apartment.;У меня есть своя собственная квартира.;0;
002;He prefers [my:t.Possessive] own recipe.;Он предпочитает мой собственный рецепт.;0;
003;I can solve this problem on [my:t.Possessive] own.;Я могу решить эту проблему самостоятельно.;0;
004;[My:t.Possessive] own experience tells me otherwise.;Мой собственный опыт говорит мне обратное.;0;
005;I want to start [my:t.Possessive] own business.;Я хочу открыть свой собственный бизнес.;0;
006;This is [your:t.Possessive] own choice.;Это твой собственный выбор.;0;
007;You should have [your:t.Possessive] own opinion.;Тебе следует иметь своё собственное мнение.;0;
008;Do you have [your:t.Possessive] own office?;У тебя есть свой собственный офис?;0;
009;[Your:t.Possessive] own words contradict you.;Твои собственные слова тебе противоречат.;0;
010;You must make [your:t.Possessive] own decisions.;Ты должен принимать свои собственные решения.;0;
011;He has [his:t.Possessive] own car.;У него есть своя собственная машина.;0;
012;[His:t.Possessive] own brother betrayed him.;Его родной брат предал его.;0;
013;He built [his:t.Possessive] own house.;Он построил свой собственный дом.;0;
014;He is responsible for [his:t.Possessive] own actions.;Он несёт ответственность за свои собственные поступки.;0;
015;[His:t.Possessive] own parents didn't believe him.;Его собственные родители не верили ему.;0;
016;She wants [her:t.Possessive] own space.;Она хочет своё собственное пространство.;0;
017;[Her:t.Possessive] own friends don't trust her.;Её собственные друзья ей не доверяют.;0;
018;She designed [her:t.Possessive] own dress.;Она создала своё собственное платье.;0;
019;She has [her:t.Possessive] own opinion on this matter.;У неё есть своё собственное мнение на этот счёт.;0;
020;[Her:t.Possessive] own work speaks for itself.;Её собственная работа говорит сама за себя.;0;
021;The little cabin has [its:t.Possessive] own charm.;Небольшой домик имеет свой собственный шарм.;0;
022;The company has [its:t.Possessive] own rules.;У компании есть свои собственные правила.;0;
023;The tree grew in [its:t.Possessive] own unique way.;Дерево выросло по-своему.;0;
024;The school has [its:t.Possessive] own traditions.;У школы есть свои собственные традиции.;0;
025;The system has [its:t.Possessive] own limitations.;У системы есть свои собственные ограничения.;0;
026;We have [our:t.Possessive] own traditions.;У нас есть свои собственные традиции.;0;
027;[Our:t.Possessive] own team won the championship.;Наша собственная команда выиграла чемпионат.;0;
028;This is [our:t.Possessive] own responsibility.;Это наша собственная ответственность.;0;
029;We are building [our:t.Possessive] own future.;Мы строим своё собственное будущее.;0;
030;[Our:t.Possessive] own mistakes teach us the most.;Наши собственные ошибки учат нас больше всего.;0;
031;They have [their:t.Possessive] own business.;У них есть свой собственный бизнес.;0;
032;[Their:t.Possessive] own ideas changed the industry.;Их собственные идеи изменили индустрию.;0;
033;[Their:t.Possessive] own house is under construction.;Их собственный дом строится.;0;
034;[Their:t.Possessive] own words proved them wrong.;Их собственные слова доказали их неправоту.;0;
035;[Their:t.Possessive] own experience helped them succeed.;Их собственный опыт помог им добиться успеха.;0;
# possessive: Anthropomorphism - персонификация объектов
000;The ship was old, but [her:t.Possessive,e.anthropomorphism] sails were still intact.;Корабль был старым, но его паруса всё ещё были целы.;0;
000;The jet took off smoothly, showcasing [her:t.Possessive,e.anthropomorphism] impressive power.;Истребитель взлетел плавно, демонстрируя свою впечатляющую мощь.;0;
000;Despite the years, [her:t.Possessive,e.anthropomorphism] engine still roared like new.;Несмотря на годы, её двигатель всё ещё рычал, как новый.;0;
# possessive: possessive vs "to be"
000;[They're](they're/their) going to the store.;Они идут в магазин.;0;
000;I like [your](your/you're) new haircut.;Мне нравится твоя новая стрижка.;0;
000;The dog wagged [its](its/it's) tail.;Собака виляла хвостом.;0;
000;[It's](its/it's) raining outside.;На улице идет дождь.;0;
000;[It's](its/it's) the best decision you could make! - Это лучшее решение, которое ты мог принять!;0;
000;She forgot [her](her/she's) keys at home.;Она забыла свои ключи дома.;0;
000;[They're](they're/their) very happy to see you.;Они очень рады тебя видеть.;0;
000;The book lost [its](its/it's) cover.;Книга потеряла свою обложку.;0;
000;[It's](Its/It's) a beautiful day outside.;На улице прекрасный день.;0;
000;The cat was licking [its](its/it's) paws.;Кот облизывал свои лапы.;0;
000;[You're](Your/You're) going to love this movie! - Тебе точно понравится этот фильм!;0;
000;[They're](Their/They're) coming over for dinner at six.;Они придут на ужин в шесть.;0;
000;[You're](Your/You're) the best friend I've ever had.;Ты лучший друг, который у меня был.;0;
000;The dog lost [its](Its/It's) collar somewhere in the park.;Собака потеряла свой ошейник где-то в парке.;0;
000;I think [you're](your/you're) the best choice for the job.;Думаю, ты лучший кандидат на эту работу.;0;
000;The phone lost [its](its/it's) battery charge.;Телефон разрядился.;0;
000;This is my car, and that one is [theirs](their/theirs).;Это моя машина, а та - их.;0;
000;She said [she's](she's/her) not feeling well today.;Она сказала, что плохо себя чувствует сегодня.;0;
000;I don't know [his](his/he's) name, but she looks familiar.;Я не знаю его имени, но она выглядит знакомой.;0;
000;The company changed [its](its/it's) logo last year.;Компания сменила свой логотип в прошлом году.;0;
000;We're going to [their](they're/their) house for the weekend.;Мы едем к ним домой на выходные.;0;
# possessive: impact rule (правило воздействия)
000;She kissed him on [the] cheek.;Она поцеловала его в щёку.;0;
000;They hit me on [the] head.;Они ударили меня по голове.;0;
000;He slapped her on [the] wrist.;Он шлёпнул её по запястью.;0;
000;The ball hit him on [the] knee.;Мяч ударил его по колену.;0;
000;She patted the child on [the] back.;Она похлопала ребёнка по спине.;0;
000;He punched me in [the] stomach.;Он ударил меня в живот.;0;
000;The insect stung her in [the] arm.;Насекомое ужалило её в руку.;0;
000;She kicked him in [the] shin.;Она ударила его по голени.;0;
000;He hit me in [the] ribs.;Он ударил меня по рёбрам.;0;
000;The doctor injected him in [the] shoulder.;Врач сделал ему укол в плечо.;0;
000;He grabbed me at [the] wrist.;Он схватил меня за запястье.;0;
000;She scratched him at [the] neck.;Она поцарапала его в области шеи.;0;
000;The cat bit him at [the] ankle.;Кошка укусила его за лодыжку.;0;
000;He tugged her at [the] sleeve.;Он потянул её за рукав.;0;
000;I felt a pain at [the] temple.;Я почувствовал боль в виске.;0;
000;He pulled me by [the] arm.;Он потянул меня за руку.;0;
000;She held him by [the] shoulder.;Она держала его за плечо.;0;
000;He grabbed her by [the] collar.;Он схватил её за воротник.;0;
000;The officer took him by [the] wrist.;Офицер взял его за запястье.;0;
000;The dog caught him by [the] pant leg.;Собака схватила его за штанину.;0;
000;He hit me with [the] palm of his hand.;Он ударил меня ладонью руки.;0;
000;She poked him with [the] finger.;Она ткнула его пальцем.;0;
000;He slapped me with [the] back of his hand.;Он ударил меня тыльной стороной руки.;0;
000;The child wiped his mouth with [the] sleeve.;Ребёнок вытер рот рукавом.;0;
000;She covered her face with [the] hands.;Она закрыла лицо руками.;0;
# possessive: noun2pronoun - могут замещать существительные с 's или конструкцию с предлогом of
000;This is [his friend:t.Possessive](a friend of Michael), not mine.;Это друг Майкла, а не мой.;0;
001;[His idea:t.Possessive](Jack's idea) was interesting, but his was even better.;Идея Джека была интересной, но его была ещё лучше.;0;
002;[His idea:t.Possessive](The idea of Jack) was interesting, but his was even better.;Идея Джека была интересной, но его была ещё лучше.;0;
003;[His decision:t.Possessive](Mark's decision) was unexpected, but hers was even more surprising.;Решение Марка было неожиданным, но её было ещё более удивительным.;0;
004;[His decision:t.Possessive](The decision of Mark) was unexpected, but hers was even more surprising.;Решение Марка было неожиданным, но её было ещё более удивительным.;0;
005;[Her book:t.Possessive](Anna's book) is on the table.;Книга Анны на столе.;0;
006;[Her book:t.Possessive](The book of Anna) is on the table.;Книга Анны на столе.;0;
007;He supported [her decision:t.Possessive](Anna's decision), but questioned her reasoning.;Он поддержал решение Анны, но усомнился в её аргументации.;0;
008;He supported [her decision:t.Possessive](the decision of Anna), but questioned her reasoning.;Он поддержал решение Анны, но усомнился в её аргументации.;0;
009;The company changed [its policy:t.Possessive](the department's policy) to comply with new regulations.;Компания изменила политику отдела, чтобы соответствовать новым правилам.;0;
010;The company changed [its policy:t.Possessive](the policy of the department) to comply with new regulations.;Компания изменила политику отдела, чтобы соответствовать новым правилам.;0;
011;The university updated [its catalog:t.Possessive](the library's catalog) to include digital resources.;Университет обновил каталог библиотеки, чтобы включить цифровые ресурсы.;0;
012;The university updated [its catalog:t.Possessive](the catalog of the library) to include digital resources.;Университет обновил каталог библиотеки, чтобы включить цифровые ресурсы.;0;
013;The company improved [its interface:t.Possessive](the website's interface) for better user experience.;Компания улучшила интерфейс сайта для лучшего пользовательского опыта.;0;
014;The company improved [its interface:t.Possessive](the interface of the website) for better user experience.;Компания улучшила интерфейс сайта для лучшего пользовательского опыта.;0;
015;The team followed [its guidelines:t.Possessive](the organization's guidelines) to ensure compliance.;Команда следовала рекомендациям организации, чтобы обеспечить соответствие.;0;
016;The team followed [its guidelines:t.Possessive](the guidelines of the organization) to ensure compliance.;Команда следовала рекомендациям организации, чтобы обеспечить соответствие.;0;
017;The device lost [its calibration:t.Possessive](the sensor's calibration) after prolonged use.;Устройство потеряло калибровку датчика после длительного использования.;0;
018;The device lost [its calibration:t.Possessive](the calibration of the sensor) after prolonged use.;Устройство потеряло калибровку датчика после длительного использования.;0;
